Year	Resilience Score (0–100)
2025	25.3
2024	35.85
2023	63.95
2022	63.14
2021	21.01
2020	1.77
2019	64.61
2018	58.75
2017	51.29
2016	41.39
2015	39.12
2014	31.82
2013	30.34
2012	24.89
2011	26.17
2010	18.06
2009	14.34
2008	50.22
2007	54.13
2006	54.13
2005	51.45
2004	49.27
2003	47.63
2002	42.01
2001	54.71
2000	66.94
1999	51.97
1998	34.8
1997	19.15
1996	12.57
1995	15.23
1994	8.1
1993	0
1992	1.97
1991	14.88
1990	65.19
1989	100
1988	98.07
1987	65.72
1986	47.05
1985	32.3
1984	18.01
1983	5.42
1982	9.96
1981	50.39
1980	42.24
1979	46.71
1978	33.23
1977	34.87
1976	47.82
