"Labour force characteristics by gender and detailed age group, annual 1 2 3"
"Frequency: Annual"
"Table: 14-10-0327-01"
"Release date: 2026-01-09"
"Geography: Canada, Province or territory"
""
""

,"Geography 4","Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Labour force characteristics","Employment rate 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gender 6 7","Age group","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total - Gender","15 years and over","60.3","60.0","60.7","62.2","62.2","63.2","60.9","60.6","61.7","63.0","64.0","64.9","66.1","66.5","65.3","62.0","60.1","59.4","59.6","59.7","59.6","60.2","61.2","62.3","63.2","63.0","62.9","63.7","63.8","63.5","63.3","63.3","63.2","60.9","61.1","61.3","60.9","61.3","61.0","60.9","60.7","61.2","61.2","61.6","57.5","59.9","61.8","62.0","60.7","60.0"
,"15 to 24 years","58.1","58.5","59.2","62.0","62.3","63.5","59.1","58.9","61.5","63.3","64.9","67.3","68.4","68.8","65.7","59.6","56.3","54.3","54.2","54.1","53.8","52.6","53.6","56.3","58.2","57.4","57.3","57.4","57.1","55.6","56.9","57.7","56.6","52.6","52.0","53.0","51.4","52.7","53.5","53.2","53.2","55.1","54.7","55.2","45.7","50.9","55.5","54.5","50.4","50.7"
,"25 years and over","61.0","60.6","61.2","62.3","62.2","63.2","61.4","61.1","61.8","62.9","63.7","64.3","65.5","65.9","65.1","62.5","60.9","60.5","60.7","60.9","60.8","61.7","62.7","63.5","64.1","64.1","64.1","65.0","65.1","65.0","64.6","64.5","64.5","62.6","62.9","62.9","62.8","62.9","62.4","62.3","62.1","62.4","62.4","62.7","59.6","61.4","62.8","63.2","62.6","61.7"
,"25 to 44 years","74.0","74.3","75.6","76.8","77.4","79.1","76.9","76.8","78.3","79.2","81.3","81.7","83.4","83.7","82.6","79.5","77.1","76.9","77.5","78.2","78.1","79.4","81.1","81.9","82.6","82.5","81.7","82.3","82.5","83.0","82.2","82.3","82.2","79.4","80.1","80.2","80.9","81.2","80.7","80.7","80.9","81.2","81.7","81.8","77.8","81.0","83.9","83.9","82.7","82.0"
,"45 to 64 years","64.5","63.4","63.6","65.1","64.6","65.0","63.2","62.4","62.3","64.2","63.9","64.7","66.4","66.9","66.6","63.9","63.5","63.4","63.3","63.3","63.7","64.9","65.6","67.4","68.4","68.5","69.3","71.4","71.7","71.2","71.7","71.7","71.7","70.4","70.7","71.2","70.9","71.4","71.3","71.5","71.7","72.3","72.6","73.4","70.4","72.5","73.5","74.5","73.9","72.4"
,"45 years and over","48.3","46.9","46.8","47.7","46.9","47.0","45.6","44.8","44.6","45.5","44.8","45.2","45.8","46.0","45.6","43.8","43.3","43.1","43.3","43.3","43.5","44.4","45.0","46.4","47.2","47.7","48.7","50.4","50.8","50.8","51.2","51.3","51.9","51.2","51.6","51.8","51.3","51.5","51.2","51.1","50.8","51.1","50.7","51.0","48.3","49.2","49.4","49.7","48.9","47.7"
,"25 to 54 years","73.2","73.1","74.5","75.7","76.4","77.8","75.7","75.9","77.0","78.4","79.9","80.8","82.4","82.9","81.8","78.9","77.0","76.8","77.2","77.7","77.6","78.8","80.3","81.1","81.8","81.6","81.4","82.2","82.4","82.2","82.0","81.9","81.9","79.5","79.8","80.3","80.5","81.0","80.4","80.6","80.7","81.3","81.7","82.3","78.3","81.3","83.8","84.1","83.0","81.9"
